Fiscal Year,Fiscal Quarter,Fiscal Month,Email Program Name,Sent,Bounced,Delivered,Delivered%,Opens,Open Rate%,Clicks,CTR%,Link Clicks,Marketing Play,Play Num,Solution Area,Solution Area Num,Marketing Play Product,Product Num,Row#
FY22,FY22-Q1,9/1/2021 0:00,,"32,620","1,001","31,619",96.93%,"6,373",20.16%,454,1.44%,754,Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4380
FY22,FY22-Q1,9/1/2021 0:00,,"49,328","1,142","48,186",97.68%,"7,722",16.03%,294,0.61%,412,Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4379
FY22,FY22-Q1,9/1/2021 0:00,,"17,504",817,"16,687",95.33%,"2,834",16.98%,184,1.10%,335,Compliance,19,Security,8,Security,5,4200
FY22,FY22-Q1,9/1/2021 0:00,,"19,012",975,"18,037",94.87%,"3,028",16.79%,148,0.82%,282,Compliance,19,Security,8,Security,5,4199
FY22,FY22-Q1,9/1/2021 0:00,,"25,657",984,"24,673",96.16%,"4,531",18.36%,292,1.18%,489,Compliance,19,Security,8,Security,5,4198
FY22,FY22-Q1,9/1/2021 0:00,,"50,962","4,020","46,942",92.11%,"7,129",15.19%,153,0.33%,187,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3991
FY22,FY22-Q1,9/1/2021 0:00,,"56,511","2,867","53,644",94.93%,"7,473",13.93%,214,0.40%,274,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3990
FY22,FY22-Q1,9/1/2021 0:00,,"39,583","2,391","37,192",93.96%,"5,012",13.48%,205,0.55%,245,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3989
FY22,FY22-Q1,9/1/2021 0:00,,"36,059","2,486","33,573",93.11%,"5,456",16.25%,149,0.44%,207,Enable Always-On Service,21,Business Applications,1,Dynamics 365,2,3747
FY22,FY22-Q1,9/1/2021 0:00,,"28,717","3,025","25,692",89.47%,"3,511",13.67%,103,0.40%,121,Enable Always-On Service,21,Business Applications,1,Dynamics 365,2,3746
FY22,FY22-Q1,9/1/2021 0:00,,"33,970",863,"33,107",97.46%,"5,856",17.69%,123,0.37%,175,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3630
FY22,FY22-Q1,9/1/2021 0:00,,"58,661","3,395","55,266",94.21%,"9,666",17.49%,484,0.88%,661,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3629
FY22,FY22-Q1,9/1/2021 0:00,,"26,097",852,"25,245",96.74%,"4,162",16.49%,87,0.34%,102,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3628
FY22,FY22-Q1,9/1/2021 0:00,,"2,886",420,"2,466",85.45%,403,16.34%,19,0.77%,20,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3627
FY22,FY22-Q1,9/1/2021 0:00,,"24,989",450,"24,539",98.20%,"5,393",21.98%,455,1.85%,712,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3626
FY22,FY22-Q1,9/1/2021 0:00,,"11,927",470,"11,457",96.06%,"2,180",19.03%,64,0.56%,114,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3624
FY22,FY22-Q1,9/1/2021 0:00,,"27,296",829,"26,467",96.96%,"5,072",19.16%,323,1.22%,497,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3623
FY22,FY22-Q1,9/1/2021 0:00,,"37,669",804,"36,865",97.87%,"6,387",17.33%,173,0.47%,303,Build a Resilient Supply Chain,5,Business Applications,1,Dynamics 365,2,3490
FY22,FY22-Q1,9/1/2021 0:00,,"34,608","1,843","32,765",94.67%,"5,810",17.73%,154,0.47%,232,Build a Resilient Supply Chain,5,Business Applications,1,Dynamics 365,2,3489
FY22,FY22-Q1,9/1/2021 0:00,,"31,040",413,"30,627",98.67%,"9,267",30.26%,590,1.93%,765,Education,6,Digital Transformation and Industry,4,Education,3,3412
FY22,FY22-Q1,9/1/2021 0:00,,"4,933",66,"4,867",98.66%,"1,561",32.07%,162,3.33%,240,Education,6,Digital Transformation and Industry,4,Education,3,3411
FY22,FY22-Q1,9/1/2021 0:00,,"8,234",129,"8,105",98.43%,"2,405",29.67%,255,3.15%,344,Education,6,Digital Transformation and Industry,4,Education,3,3410
FY22,FY22-Q1,9/1/2021 0:00,,"15,903",438,"15,465",97.25%,"3,989",25.79%,174,1.13%,213,Education,6,Digital Transformation and Industry,4,Education,3,3409
FY22,FY22-Q1,9/1/2021 0:00,,"4,886",20,"4,866",99.59%,"1,729",35.53%,219,4.50%,261,Education,6,Digital Transformation and Industry,4,Education,3,3408
FY22,FY22-Q1,9/1/2021 0:00,,"1,838",131,"1,707",92.87%,574,33.63%,100,5.86%,135,Education,6,Digital Transformation and Industry,4,Education,3,3407
FY22,FY22-Q1,9/1/2021 0:00,,"2,083",20,"2,063",99.04%,578,28.02%,46,2.23%,51,Education,6,Digital Transformation and Industry,4,Education,3,3406
FY22,FY22-Q1,9/1/2021 0:00,,"2,992",19,"2,973",99.36%,882,29.67%,85,2.86%,103,Education,6,Digital Transformation and Industry,4,Education,3,3405
FY22,FY22-Q1,9/1/2021 0:00,,"2,590",66,"2,524",97.45%,813,32.21%,104,4.12%,172,Education,6,Digital Transformation and Industry,4,Education,3,3404
FY22,FY22-Q1,9/1/2021 0:00,,"7,796",192,"7,604",97.54%,"2,187",28.76%,147,1.93%,202,Education,6,Digital Transformation and Industry,4,Education,3,3403
FY22,FY22-Q1,9/1/2021 0:00,,"1,650",27,"1,623",98.36%,588,36.23%,55,3.39%,63,Education,6,Digital Transformation and Industry,4,Education,3,3402
FY22,FY22-Q1,9/1/2021 0:00,,"6,491",34,"6,457",99.48%,"2,056",31.84%,130,2.01%,175,Education,6,Digital Transformation and Industry,4,Education,3,3401
FY22,FY22-Q1,9/1/2021 0:00,,"4,948",43,"4,905",99.13%,"1,449",29.54%,103,2.10%,131,Education,6,Digital Transformation and Industry,4,Education,3,3400
FY22,FY22-Q1,9/1/2021 0:00,,"6,313",74,"6,239",98.83%,"1,637",26.24%,80,1.28%,107,Education,6,Digital Transformation and Industry,4,Education,3,3399
FY22,FY22-Q1,9/1/2021 0:00,,"2,173",42,"2,131",98.07%,503,23.60%,59,2.77%,65,Education,6,Digital Transformation and Industry,4,Education,3,3398
FY22,FY22-Q1,9/1/2021 0:00,,"54,119","1,255","52,864",97.68%,"8,104",15.33%,327,0.62%,472,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,3000
FY22,FY22-Q1,9/1/2021 0:00,,"43,403",924,"42,479",97.87%,"10,933",25.74%,454,1.07%,634,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2999
FY22,FY22-Q1,9/1/2021 0:00,,"33,151","2,307","30,844",93.04%,"5,420",17.57%,163,0.53%,209,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2998
FY22,FY22-Q1,9/1/2021 0:00,,"41,005",995,"40,010",97.57%,"9,903",24.75%,323,0.81%,453,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2997
FY22,FY22-Q1,9/1/2021 0:00,,"81,291","2,120","79,171",97.39%,"15,574",19.67%,"1,212",1.53%,"1,991",Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2996
FY22,FY22-Q1,9/1/2021 0:00,,"40,560",391,"40,169",99.04%,"10,028",24.96%,306,0.76%,376,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2995
FY22,FY22-Q1,9/1/2021 0:00,,"19,458",790,"18,668",95.94%,"3,886",20.82%,145,0.78%,189,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2994
FY22,FY22-Q1,9/1/2021 0:00,,"70,128","1,396","68,732",98.01%,"14,613",21.26%,491,0.71%,607,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2993
FY22,FY22-Q1,9/1/2021 0:00,,"21,800",452,"21,348",97.93%,"5,076",23.78%,577,2.70%,911,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2400
FY22,FY22-Q1,9/1/2021 0:00,,"26,004","1,265","24,739",95.14%,"4,848",19.60%,341,1.38%,548,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2399
FY22,FY22-Q1,9/1/2021 0:00,,"49,384","2,393","46,991",95.15%,"8,523",18.14%,459,0.98%,673,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2397
FY22,FY22-Q1,9/1/2021 0:00,,"35,185","1,030","34,155",97.07%,"6,104",17.87%,263,0.77%,325,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2396
FY22,FY22-Q1,9/1/2021 0:00,,"26,047",941,"25,106",96.39%,"5,475",21.81%,331,1.32%,491,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2395
FY22,FY22-Q1,9/1/2021 0:00,,"24,798","1,157","23,641",95.33%,"3,977",16.82%,189,0.80%,231,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2394
FY22,FY22-Q1,9/1/2021 0:00,,"29,584",971,"28,613",96.72%,"4,855",16.97%,263,0.92%,435,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2393
FY22,FY22-Q1,9/1/2021 0:00,,"20,139",449,"19,690",97.77%,"3,549",18.02%,154,0.78%,210,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1961
FY22,FY22-Q1,9/1/2021 0:00,,"24,573",975,"23,598",96.03%,"4,458",18.89%,159,0.67%,227,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1960
FY22,FY22-Q1,9/1/2021 0:00,,"16,088",621,"15,467",96.14%,"2,295",14.84%,71,0.46%,123,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1959
FY22,FY22-Q1,9/1/2021 0:00,,"34,062","2,055","32,007",93.97%,"3,906",12.20%,151,0.47%,180,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1958
FY22,FY22-Q1,9/1/2021 0:00,,"59,994","1,158","58,836",98.07%,"8,977",15.26%,260,0.44%,391,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1850
FY22,FY22-Q1,9/1/2021 0:00,,"31,475","1,539","29,936",95.11%,"5,284",17.65%,111,0.37%,180,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1849
FY22,FY22-Q1,9/1/2021 0:00,,"11,624",279,"11,345",97.60%,"2,687",23.68%,283,2.49%,392,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1611
FY22,FY22-Q1,9/1/2021 0:00,,"6,078",110,"5,968",98.19%,"1,547",25.92%,133,2.23%,176,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1610
FY22,FY22-Q1,9/1/2021 0:00,,"11,847",420,"11,427",96.45%,"2,623",22.95%,246,2.15%,357,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1609
FY22,FY22-Q1,9/1/2021 0:00,,"8,917",312,"8,605",96.50%,"1,828",21.24%,184,2.14%,294,Modernize Security and Defend Against Threats,12,Unknown,9,Unknown,12,1608
FY22,FY22-Q1,9/1/2021 0:00,,"6,390",152,"6,238",97.62%,"1,065",17.07%,64,1.03%,141,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1607
FY22,FY22-Q1,9/1/2021 0:00,,"9,810",156,"9,654",98.41%,"1,932",20.01%,160,1.66%,211,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1606
FY22,FY22-Q1,9/1/2021 0:00,,"36,554",714,"35,840",98.05%,"7,340",20.48%,"1,159",3.23%,"2,206",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,987
FY22,FY22-Q1,9/1/2021 0:00,,"24,384",901,"23,483",96.30%,"4,102",17.47%,380,1.62%,575,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,986
FY22,FY22-Q1,9/1/2021 0:00,,"30,510","1,599","28,911",94.76%,"5,366",18.56%,589,2.04%,"1,003",Rapidly Build Apps,13,Business Applications,1,Power Apps,6,985
FY22,FY22-Q1,9/1/2021 0:00,,"26,911","1,023","25,888",96.20%,"5,582",21.56%,342,1.32%,481,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,984
FY22,FY22-Q1,9/1/2021 0:00,,"22,953","1,262","21,691",94.50%,"3,843",17.72%,153,0.71%,232,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,983
FY22,FY22-Q1,9/1/2021 0:00,,"25,670","2,815","22,855",89.03%,"3,575",15.64%,273,1.19%,459,Rapidly Build Apps,13,Business Applications,1,Power Apps,6,982
FY22,FY22-Q1,9/1/2021 0:00,,"23,155",707,"22,448",96.95%,"3,772",16.80%,257,1.14%,474,Security Broad Reach,15,Security,8,Security,5,533
FY22,FY22-Q1,9/1/2021 0:00,,"17,899","1,659","16,240",90.73%,"2,714",16.71%,167,1.03%,244,Security Broad Reach,15,Security,8,Security,5,532
FY22,FY22-Q1,9/1/2021 0:00,,"23,983","1,179","22,804",95.08%,"3,231",14.17%,81,0.36%,104,Refresh Your Devices,26,Modern Work,6,Surface,11,326
FY22,FY22-Q1,9/1/2021 0:00,,"6,488",265,"6,223",95.92%,"1,500",24.10%,85,1.37%,117,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,256
FY22,FY22-Q1,9/1/2021 0:00,,"11,514",183,"11,331",98.41%,"2,954",26.07%,126,1.11%,190,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,255
FY22,FY22-Q1,9/1/2021 0:00,,"7,203",104,"7,099",98.56%,"1,706",24.03%,96,1.35%,123,Digital Transformation,16,Digital Transformation and Industry,4,Digital Transformation,8,254
FY22,FY22-Q1,9/1/2021 0:00,,"48,646","2,014","46,632",95.86%,"8,612",18.47%,342,0.73%,452,Build Zero Trust Foundations,17,Security,8,Security,5,63
FY22,FY22-Q1,9/1/2021 0:00,,"40,997","2,069","38,928",94.95%,"6,657",17.10%,163,0.42%,225,Build Zero Trust Foundations,17,Security,8,Security,5,62
FY22,FY22-Q1,9/1/2021 0:00,,"35,261",981,"34,280",97.22%,"5,576",16.27%,109,0.32%,134,Build Zero Trust Foundations,17,Security,8,Security,5,61
FY22,FY22-Q1,8/1/2021 0:00,,"40,803","2,517","38,286",93.83%,"7,211",18.83%,478,1.25%,657,Innovate with AI,1,Data and AI,2,Azure,1,5345
FY22,FY22-Q1,8/1/2021 0:00,,"75,035","2,000","73,035",97.33%,"14,278",19.55%,576,0.79%,753,Win with Analytics,2,Data and AI,2,Azure,1,5149
FY22,FY22-Q1,8/1/2021 0:00,,"24,846",786,"24,060",96.84%,"4,763",19.80%,216,0.90%,305,Win with Analytics,2,Data and AI,2,Azure,1,5148
FY22,FY22-Q1,8/1/2021 0:00,,"25,154",636,"24,518",97.47%,"3,994",16.29%,161,0.66%,241,Win with Analytics,2,Data and AI,2,Azure,1,5147
FY22,FY22-Q1,8/1/2021 0:00,,"56,448","1,875","54,573",96.68%,"10,376",19.01%,334,0.61%,455,Win with Analytics,2,Data and AI,2,Azure,1,5146
FY22,FY22-Q1,8/1/2021 0:00,,"26,876","1,084","25,792",95.97%,"4,828",18.72%,144,0.56%,202,Win with Analytics,2,Data and AI,2,Azure,1,5145
FY22,FY22-Q1,8/1/2021 0:00,,"41,446","1,181","40,265",97.15%,"8,834",21.94%,384,0.95%,637,Win with Analytics,2,Data and AI,2,Azure,1,5144
FY22,FY22-Q1,8/1/2021 0:00,,"5,380",318,"5,062",94.09%,997,19.70%,36,0.71%,61,Win with Analytics,2,Data and AI,2,Azure,1,5143
FY22,FY22-Q1,8/1/2021 0:00,,"62,251","1,191","61,060",98.09%,"10,086",16.52%,622,1.02%,863,Win with Analytics,2,Data and AI,2,Azure,1,5142
FY22,FY22-Q1,8/1/2021 0:00,,"25,447","1,109","24,338",95.64%,"4,452",18.29%,178,0.73%,274,Win with Analytics,2,Data and AI,2,Azure,1,5141
FY22,FY22-Q1,8/1/2021 0:00,,"48,165","1,420","46,745",97.05%,"10,246",21.92%,596,1.28%,885,Win with Analytics,2,Data and AI,2,Azure,1,5140
FY22,FY22-Q1,8/1/2021 0:00,,"58,390","3,792","54,598",93.51%,"7,949",14.56%,454,0.83%,676,Win with Analytics,2,Data and AI,2,Azure,1,5139
FY22,FY22-Q1,8/1/2021 0:00,,"42,777","2,313","40,464",94.59%,"5,571",13.77%,267,0.66%,387,Win with Analytics,2,Data and AI,2,Azure,1,5138
FY22,FY22-Q1,8/1/2021 0:00,,"42,390","1,544","40,846",96.36%,"7,240",17.73%,406,0.99%,568,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4689
FY22,FY22-Q1,8/1/2021 0:00,,"40,809","1,582","39,227",96.12%,"8,175",20.84%,525,1.34%,753,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4687
FY22,FY22-Q1,8/1/2021 0:00,,"222,139","6,698","215,441",96.98%,"46,044",21.37%,"3,329",1.55%,"5,043",Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4686
FY22,FY22-Q1,8/1/2021 0:00,,"20,094",772,"19,322",96.16%,"4,617",23.90%,178,0.92%,236,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4685
FY22,FY22-Q1,8/1/2021 0:00,,"65,270","1,690","63,580",97.41%,"16,613",26.13%,"1,249",1.96%,"1,937",Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4684
FY22,FY22-Q1,8/1/2021 0:00,,"20,819","1,082","19,737",94.80%,"3,774",19.12%,205,1.04%,266,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4683
FY22,FY22-Q1,8/1/2021 0:00,,"106,201","3,650","102,551",96.56%,"21,848",21.30%,"1,179",1.15%,"1,694",Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4682
FY22,FY22-Q1,8/1/2021 0:00,,"35,465","2,678","32,787",92.45%,"5,992",18.28%,321,0.98%,427,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4681
FY22,FY22-Q1,8/1/2021 0:00,,"20,738",407,"20,331",98.04%,"4,841",23.81%,245,1.21%,314,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4680
FY22,FY22-Q1,8/1/2021 0:00,,"49,497","2,220","47,277",95.51%,"9,657",20.43%,636,1.35%,919,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4679
FY22,FY22-Q1,8/1/2021 0:00,,"17,118",149,"16,969",99.13%,"2,933",17.28%,167,0.98%,222,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4678
FY22,FY22-Q1,8/1/2021 0:00,,"64,360","2,710","61,650",95.79%,"11,398",18.49%,644,1.04%,943,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4677
FY22,FY22-Q1,8/1/2021 0:00,,"51,078","2,346","48,732",95.41%,"11,189",22.96%,699,1.43%,888,Azure App Innovation,18,Digital and Application Innovation,3,Azure,1,4676
FY22,FY22-Q1,8/1/2021 0:00,,"40,712","2,091","38,621",94.86%,"7,496",19.41%,523,1.35%,806,Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4384
FY22,FY22-Q1,8/1/2021 0:00,,"76,770","2,316","74,454",96.98%,"15,371",20.64%,"1,362",1.83%,"2,240",Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4383
FY22,FY22-Q1,8/1/2021 0:00,,"20,771","1,181","19,590",94.31%,"2,943",15.02%,117,0.60%,188,Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4382
FY22,FY22-Q1,8/1/2021 0:00,,"32,482","2,242","30,240",93.10%,"4,414",14.60%,208,0.69%,292,Optimize Financial and Operating Models,28,Business Applications,1,Dynamics 365,2,4085
FY22,FY22-Q1,8/1/2021 0:00,,"4,446","2,042","2,404",54.07%,367,15.27%,22,0.92%,30,Optimize Financial and Operating Models,28,Business Applications,1,Dynamics 365,2,4084
FY22,FY22-Q1,8/1/2021 0:00,,"46,503","2,528","43,975",94.56%,"6,909",15.71%,281,0.64%,356,Optimize Financial and Operating Models,28,Business Applications,1,Dynamics 365,2,4083
FY22,FY22-Q1,8/1/2021 0:00,,"66,656","2,458","64,198",96.31%,"10,189",15.87%,234,0.36%,312,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3994
FY22,FY22-Q1,8/1/2021 0:00,,"64,865","5,262","59,603",91.89%,"9,539",16.00%,238,0.40%,346,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3993
FY22,FY22-Q1,8/1/2021 0:00,,"58,692","3,017","55,675",94.86%,"8,273",14.86%,190,0.34%,248,Activate Digital Selling,20,Business Applications,1,Dynamics 365,2,3992
FY22,FY22-Q1,8/1/2021 0:00,,"37,646","1,818","35,828",95.17%,"5,917",16.52%,264,0.74%,371,Enable Always-On Service,21,Business Applications,1,Dynamics 365,2,3750
FY22,FY22-Q1,8/1/2021 0:00,,"16,375",226,"16,149",98.62%,"3,496",21.65%,122,0.76%,169,Enable Always-On Service,21,Business Applications,1,Dynamics 365,2,3749
FY22,FY22-Q1,8/1/2021 0:00,,"39,942","2,245","37,697",94.38%,"6,094",16.17%,242,0.64%,322,Enable Always-On Service,21,Business Applications,1,Dynamics 365,2,3748
FY22,FY22-Q1,8/1/2021 0:00,,"27,298",204,"27,094",99.25%,"5,712",21.08%,361,1.33%,492,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3635
FY22,FY22-Q1,8/1/2021 0:00,,"4,007",100,"3,907",97.50%,816,20.89%,48,1.23%,54,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3634
FY22,FY22-Q1,8/1/2021 0:00,,"8,096",244,"7,852",96.99%,"1,871",23.83%,32,0.41%,40,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3633
FY22,FY22-Q1,8/1/2021 0:00,,"16,116",510,"15,606",96.84%,"3,236",20.74%,78,0.50%,84,Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3632
FY22,FY22-Q1,8/1/2021 0:00,,"41,480",424,"41,056",98.98%,"8,612",20.98%,904,2.20%,"1,322",Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3631
FY22,FY22-Q1,8/1/2021 0:00,,"29,874","1,690","28,184",94.34%,"4,691",16.64%,112,0.40%,179,Build a Resilient Supply Chain,5,Business Applications,1,Dynamics 365,2,3492
FY22,FY22-Q1,8/1/2021 0:00,,"35,470",983,"34,487",97.23%,"6,095",17.67%,174,0.50%,272,Build a Resilient Supply Chain,5,Business Applications,1,Dynamics 365,2,3491
FY22,FY22-Q1,8/1/2021 0:00,,"4,572",73,"4,499",98.40%,772,17.16%,35,0.78%,41,Education,6,Digital Transformation and Industry,4,Education,3,3413
FY22,FY22-Q1,8/1/2021 0:00,,"44,084",639,"43,445",98.55%,"10,036",23.10%,572,1.32%,834,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,3005
FY22,FY22-Q1,8/1/2021 0:00,,"21,933","2,256","19,677",89.71%,"3,843",19.53%,294,1.49%,451,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,3004
FY22,FY22-Q1,8/1/2021 0:00,,"24,272",924,"23,348",96.19%,"6,709",28.73%,308,1.32%,400,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,3003
FY22,FY22-Q1,8/1/2021 0:00,,"44,112",937,"43,175",97.88%,"11,166",25.86%,384,0.89%,564,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,3002
FY22,FY22-Q1,8/1/2021 0:00,,"64,421","3,367","61,054",94.77%,"11,212",18.36%,474,0.78%,663,Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,3001
FY22,FY22-Q1,8/1/2021 0:00,,"10,481",163,"10,318",98.44%,"2,209",21.41%,101,0.98%,130,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2410
FY22,FY22-Q1,8/1/2021 0:00,,3,0,3,100.00%,1,33.33%,1,33.33%,3,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2409
FY22,FY22-Q1,8/1/2021 0:00,,"23,481","1,876","21,605",92.01%,"3,049",14.11%,95,0.44%,132,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2408
FY22,FY22-Q1,8/1/2021 0:00,,"25,769","1,808","23,961",92.98%,"3,542",14.78%,153,0.64%,207,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2407
FY22,FY22-Q1,8/1/2021 0:00,,"9,863",360,"9,503",96.35%,"1,877",19.75%,91,0.96%,112,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2406
FY22,FY22-Q1,8/1/2021 0:00,,"43,007","2,073","40,934",95.18%,"6,163",15.06%,274,0.67%,407,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2405
FY22,FY22-Q1,8/1/2021 0:00,,"11,096","2,194","8,902",80.23%,"1,243",13.96%,26,0.29%,37,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2404
FY22,FY22-Q1,8/1/2021 0:00,,"14,671","1,009","13,662",93.12%,"2,520",18.45%,107,0.78%,177,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2403
FY22,FY22-Q1,8/1/2021 0:00,,"15,030",671,"14,359",95.54%,"2,930",20.41%,165,1.15%,237,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2402
FY22,FY22-Q1,8/1/2021 0:00,,"25,767",846,"24,921",96.72%,"4,565",18.32%,255,1.02%,410,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2401
FY22,FY22-Q1,8/1/2021 0:00,,"17,232",851,"16,381",95.06%,"2,738",16.71%,96,0.59%,128,Migrate Windows and SQL Server,10,Infrastructure,5,Azure,1,1962
FY22,FY22-Q1,8/1/2021 0:00,,"61,425","2,598","58,827",95.77%,"8,840",15.03%,262,0.45%,397,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1852
FY22,FY22-Q1,8/1/2021 0:00,,"16,338",231,"16,107",98.59%,"2,629",16.32%,87,0.54%,102,Modernize NET and Java Apps,23,Digital and Application Innovation,3,Azure,1,1851
FY22,FY22-Q1,8/1/2021 0:00,,"16,548",566,"15,982",96.58%,"3,081",19.28%,233,1.46%,367,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1624
FY22,FY22-Q1,8/1/2021 0:00,,"59,978","1,708","58,270",97.15%,"12,820",22.00%,592,1.02%,859,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1623
FY22,FY22-Q1,8/1/2021 0:00,,"7,784",176,"7,608",97.74%,"2,111",27.75%,306,4.02%,438,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1622
FY22,FY22-Q1,8/1/2021 0:00,,"11,328",229,"11,099",97.98%,"2,139",19.27%,148,1.33%,216,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1621
FY22,FY22-Q1,8/1/2021 0:00,,"55,495","1,539","53,956",97.23%,"11,733",21.75%,414,0.77%,509,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1620
FY22,FY22-Q1,8/1/2021 0:00,,"18,036",765,"17,271",95.76%,"3,231",18.71%,210,1.22%,320,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1619
FY22,FY22-Q1,8/1/2021 0:00,,"10,619",188,"10,431",98.23%,"2,473",23.71%,255,2.44%,346,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1618
FY22,FY22-Q1,8/1/2021 0:00,,"14,347",406,"13,941",97.17%,"2,502",17.95%,139,1.00%,199,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1617
FY22,FY22-Q1,8/1/2021 0:00,,"10,718",190,"10,528",98.23%,"2,975",28.26%,392,3.72%,565,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1616
FY22,FY22-Q1,8/1/2021 0:00,,"18,431",317,"18,114",98.28%,"3,312",18.28%,205,1.13%,325,Modernize Security and Defend Against Threats,12,Security,8,Security,5,1615
